"station","date","source","var","uni","val","qual","bswqstation","lbs","nrmrng","lbunis","inrng"
"23","2021-03-23","epchc","sal","ppt",30.4,NA,"23","Sal (ppt)","29.5-33.9","(ppt)","in range"
"24","2021-03-23","epchc","sal","ppt",30.3,NA,"24","Sal (ppt)","29.6-33.6","(ppt)","in range"
"25","2021-03-23","epchc","sal","ppt",31,NA,"25","Sal (ppt)","30.2-33.8","(ppt)","in range"
"28","2021-03-23","epchc","sal","ppt",28.6,NA,"28","Sal (ppt)","27.7-32.5","(ppt)","in range"
"82","2021-03-23","epchc","sal","ppt",26.8,NA,"82","Sal (ppt)","25.6-30.8","(ppt)","in range"
"84","2021-03-23","epchc","sal","ppt",26,NA,"84","Sal (ppt)","25.2-30","(ppt)","in range"
"90","2021-03-23","epchc","sal","ppt",29.4,NA,"90","Sal (ppt)","29.5-33.5","(ppt)","below"
"91","2021-03-23","epchc","sal","ppt",31.7,NA,"91","Sal (ppt)","30.9-34.7","(ppt)","in range"
"92","2021-03-23","epchc","sal","ppt",33.1,NA,"92","Sal (ppt)","31.7-35.1","(ppt)","in range"
"93","2021-03-23","epchc","sal","ppt",33.1,NA,"93","Sal (ppt)","32.4-35.4","(ppt)","in range"
"94","2021-03-23","epchc","sal","ppt",33.2,NA,"93","Sal (ppt)","32.4-35.4","(ppt)","in range"
"95","2021-03-23","epchc","sal","ppt",33.1,NA,"95","Sal (ppt)","31.9-35.3","(ppt)","in range"
"96","2021-03-23","epchc","sal","ppt",31.6,NA,"95","Sal (ppt)","31.9-35.3","(ppt)","below"
"16","2021-03-23","epchc","secchi","m",2.3,"S","16","Secchi (m)","2.2-4.4","(m)","in range"
"19","2021-03-23","epchc","secchi","m",2.7,"S","19","Secchi (m)","2.7-4.7","(m)","in range"
"21","2021-03-23","epchc","secchi","m",2.4,"S","21","Secchi (m)","2.4-3.4","(m)","in range"
"22","2021-03-23","epchc","secchi","m",2,"S","22","Secchi (m)","1.5-2.1","(m)","in range"
"23","2021-03-23","epchc","secchi","m",3.3,"S","23","Secchi (m)","2.3-5.5","(m)","in range"
"24","2021-03-23","epchc","secchi","m",2.6,"S","24","Secchi (m)","2.2-2.6","(m)","in range"
"25","2021-03-23","epchc","secchi","m",2.2,"S","25","Secchi (m)","1.6-2","(m)","above"
"28","2021-03-23","epchc","secchi","m",3.1,"S","28","Secchi (m)","1.7-3.3","(m)","in range"
"82","2021-03-23","epchc","secchi","m",2.4,"S","82","Secchi (m)","1.9-2.7","(m)","in range"
"84","2021-03-23","epchc","secchi","m",1.8,"S","84","Secchi (m)","1.1-1.7","(m)","above"
"90","2021-03-23","epchc","secchi","m",2.8,"S","90","Secchi (m)","2.8-3.8","(m)","in range"
"91","2021-03-23","epchc","secchi","m",3.7,"S","91","Secchi (m)","2.6-5","(m)","in range"
"92","2021-03-23","epchc","secchi","m",3.7,"S","92","Secchi (m)","2.7-4.7","(m)","in range"
"93","2021-03-23","epchc","secchi","m",3.7,"S","93","Secchi (m)","2.6-5.2","(m)","in range"
"94","2021-03-23","epchc","secchi","m",3.2,"S","93","Secchi (m)","2.6-5.2","(m)","in range"
"95","2021-03-23","epchc","secchi","m",2.4,"S","95","Secchi (m)","2.2-5","(m)","in range"
"96","2021-03-23","epchc","secchi","m",1.8,"S","95","Secchi (m)","2.2-5","(m)","below"
"16","2021-03-23","epchc","temp","c",20.6,NA,"16","Temp (C)","19.3-23.3","(C)","in range"
"19","2021-03-23","epchc","temp","c",20.7,NA,"19","Temp (C)","19.4-23.2","(C)","in range"
"21","2021-03-23","epchc","temp","c",20.5,NA,"21","Temp (C)","19.4-23.2","(C)","in range"
"22","2021-03-23","epchc","temp","c",20.2,NA,"22","Temp (C)","19.2-23.8","(C)","in range"
"23","2021-03-23","epchc","temp","c",21.3,NA,"23","Temp (C)","19.5-23.1","(C)","in range"
"24","2021-03-23","epchc","temp","c",19.9,NA,"24","Temp (C)","19.3-24.1","(C)","in range"
"25","2021-03-23","epchc","temp","c",20.4,NA,"25","Temp (C)","19.7-23.9","(C)","in range"
"28","2021-03-23","epchc","temp","c",20.9,NA,"28","Temp (C)","19.7-23.5","(C)","in range"
"82","2021-03-23","epchc","temp","c",21.2,NA,"82","Temp (C)","19.7-23.7","(C)","in range"
"84","2021-03-23","epchc","temp","c",19.9,NA,"84","Temp (C)","18.8-23.6","(C)","in range"
"90","2021-03-23","epchc","temp","c",20.5,NA,"90","Temp (C)","19.1-23.1","(C)","in range"
"91","2021-03-23","epchc","temp","c",20.9,NA,"91","Temp (C)","19.2-23","(C)","in range"
"92","2021-03-23","epchc","temp","c",20.7,NA,"92","Temp (C)","19.1-23.1","(C)","in range"
"93","2021-03-23","epchc","temp","c",20.8,NA,"93","Temp (C)","18.8-22.8","(C)","in range"
"94","2021-03-23","epchc","temp","c",20.7,NA,"93","Temp (C)","18.8-22.8","(C)","in range"
"95","2021-03-23","epchc","temp","c",20.6,NA,"95","Temp (C)","18.9-22.9","(C)","in range"
"96","2021-03-23","epchc","temp","c",20.6,NA,"95","Temp (C)","18.9-22.9","(C)","in range"
"16","2021-03-23","epchc","tkn","mgl",0.22,"I","16","TKN (mg/L)","0.036-0.75","(mg/L)","in range"
"19","2021-03-23","epchc","tkn","mgl",0.211,"I","19","TKN (mg/L)","0.196-0.424","(mg/L)","in range"
"21","2021-03-23","epchc","tkn","mgl",0.26,"I","21","TKN (mg/L)","0.186-0.416","(mg/L)","in range"
"22","2021-03-23","epchc","tkn","mgl",0.243,"I","22","TKN (mg/L)","0.231-0.449","(mg/L)","in range"
"23","2021-03-23","epchc","tkn","mgl",0.233,"I","23","TKN (mg/L)","0.165-0.427","(mg/L)","in range"
"24","2021-03-23","epchc","tkn","mgl",0.279,"I","24","TKN (mg/L)","0.206-0.548","(mg/L)","in range"
"25","2021-03-23","epchc","tkn","mgl",0.239,"I","25","TKN (mg/L)","0.198-0.514","(mg/L)","in range"
"28","2021-03-23","epchc","tkn","mgl",0.239,"I","28","TKN (mg/L)","0.2-0.468","(mg/L)","in range"
"82","2021-03-23","epchc","tkn","mgl",0.237,"I","82","TKN (mg/L)","0.232-0.474","(mg/L)","in range"
"84","2021-03-23","epchc","tkn","mgl",0.259,"I","84","TKN (mg/L)","0.177-0.639","(mg/L)","in range"
"90","2021-03-23","epchc","tkn","mgl",0.223,"I","90","TKN (mg/L)","0.187-0.361","(mg/L)","in range"
"91","2021-03-23","epchc","tkn","mgl",0.225,"I","91","TKN (mg/L)","0.161-0.463","(mg/L)","in range"
"92","2021-03-23","epchc","tkn","mgl",0.237,"I","92","TKN (mg/L)","0.15-0.406","(mg/L)","in range"
"93","2021-03-23","epchc","tkn","mgl",0.216,"I","93","TKN (mg/L)","0.127-0.451","(mg/L)","in range"
"94","2021-03-23","epchc","tkn","mgl",0.191,"I","93","TKN (mg/L)","0.127-0.451","(mg/L)","in range"
"95","2021-03-23","epchc","tkn","mgl",0.209,"I","95","TKN (mg/L)","0.137-0.383","(mg/L)","in range"
